"clip_id","smiler_id","culture","smile_type","label_conflict","stimulus","stimulus_num","take_num","clip_duration_s","n_frames","channel","channel_type","peak","mean_intensity","sd_intensity","auc","prop_active","n_episodes","dur_total_s","dur_longest_s","t_peak_s","t_peak_prop","t_peak_usable","censored_start","censored_end","n_valid_frames","n_missing_frames"
"E11HA02-04","C11","Chinese","Genuine",0,"Happy 2 CN",2,4,5.875,47,"Sad","emotion",0.008120016,0.00215997542553192,0.00204206051408369,0.0121401286875,0,0,0,0,0.125,0.0212765957446809,1,0,0,47,0
"E11HA02-04","C11","Chinese","Genuine",0,"Happy 2 CN",2,4,5.875,47,"Angry","emotion",0.06860978,0.0317309885106383,0.016825322571423,0.1792005875,0,0,0,0,5.75,0.978723404255319,1,0,0,47,0
"E11HA02-04","C11","Chinese","Genuine",0,"Happy 2 CN",2,4,5.875,47,"Surprised","emotion",0.01727662,0.00362749991489362,0.00423351684834746,0.020184583,0,0,0,0,0.125,0.0212765957446809,1,0,0,47,0
"E11HA02-04","C11","Chinese","Genuine",0,"Happy 2 CN",2,4,5.875,47,"Scared","emotion",0.06410331,0.00786162391489362,0.0156353446703068,0.042072522125,0,0,0,0,0.125,0.0212765957446809,1,0,0,47,0
"E11HA02-04","C11","Chinese","Genuine",0,"Happy 2 CN",2,4,5.875,47,"Disgusted","emotion",0.05928138,0.0190997879574468,0.0179257314656388,0.109929981125,0,0,0,0,4,0.680851063829787,1,0,0,47,0
"E11HA02-04","C11","Chinese","Genuine",0,"Happy 2 CN",2,4,5.875,47,"Contempt","emotion",0.005076807,0.0027626919787234,0.0012079097935391,0.0158442071875,0,0,0,0,5.625,0.957446808510638,1,0,0,47,0
"E11HA02-04","C11","Chinese","Genuine",0,"Happy 2 CN",2,4,5.875,47,"AU01","action_unit",0,0,0,0,0,0,0,0,0,0,1,0,0,47,0
"E11HA02-04","C11","Chinese","Genuine",0,"Happy 2 CN",2,4,5.875,47,"AU02","action_unit",0,0,0,0,0,0,0,0,0,0,1,0,0,47,0
"E11HA02-04","C11","Chinese","Genuine",0,"Happy 2 CN",2,4,5.875,47,"AU04","action_unit",0,0,0,0,0,0,0,0,0,0,1,0,0,47,0
"E11HA02-04","C11","Chinese","Genuine",0,"Happy 2 CN",2,4,5.875,47,"AU05","action_unit",0,0,0,0,0,0,0,0,0,0,1,0,0,47,0
"E11HA02-04","C11","Chinese","Genuine",0,"Happy 2 CN",2,4,5.875,47,"AU06","action_unit",2,1.61702127659574,0.677373170845247,9.375,0.893617021276596,1,5.25,5.25,1.625,0.276595744680851,1,0,1,47,0
"E11HA02-04","C11","Chinese","Genuine",0,"Happy 2 CN",2,4,5.875,47,"AU07","action_unit",1,0.808510638297872,0.397727122553644,4.625,0.808510638297872,3,4.75,2,0,0,0,1,1,47,0
"E11HA02-04","C11","Chinese","Genuine",0,"Happy 2 CN",2,4,5.875,47,"AU09","action_unit",0,0,0,0,0,0,0,0,0,0,1,0,0,47,0
"E11HA02-04","C11","Chinese","Genuine",0,"Happy 2 CN",2,4,5.875,47,"AU10","action_unit",0,0,0,0,0,0,0,0,0,0,1,0,0,47,0
"E11HA02-04","C11","Chinese","Genuine",0,"Happy 2 CN",2,4,5.875,47,"AU12","action_unit",4,2.59574468085106,1.01423722608979,15.125,0.936170212765957,1,5.5,5.5,1.75,0.297872340425532,1,0,1,47,0
"E11HA02-04","C11","Chinese","Genuine",0,"Happy 2 CN",2,4,5.875,47,"AU14","action_unit",0,0,0,0,0,0,0,0,0,0,1,0,0,47,0
"E11HA02-04","C11","Chinese","Genuine",0,"Happy 2 CN",2,4,5.875,47,"AU15","action_unit",0,0,0,0,0,0,0,0,0,0,1,0,0,47,0
"E11HA02-04","C11","Chinese","Genuine",0,"Happy 2 CN",2,4,5.875,47,"AU17","action_unit",0,0,0,0,0,0,0,0,0,0,1,0,0,47,0
"E11HA02-04","C11","Chinese","Genuine",0,"Happy 2 CN",2,4,5.875,47,"AU18","action_unit",0,0,0,0,0,0,0,0,0,0,1,0,0,47,0
"E11HA02-04","C11","Chinese","Genuine",0,"Happy 2 CN",2,4,5.875,47,"AU20","action_unit",1,0.212765957446809,0.4136880894317,1.1875,0.212765957446809,3,1.25,0.625,0,0,0,1,0,47,0
"E11HA02-04","C11","Chinese","Genuine",0,"Happy 2 CN",2,4,5.875,47,"AU23","action_unit",0,0,0,0,0,0,0,0,0,0,1,0,0,47,0
"E11HA02-04","C11","Chinese","Genuine",0,"Happy 2 CN",2,4,5.875,47,"AU24","action_unit",0,0,0,0,0,0,0,0,0,0,1,0,0,47,0
