"clip_id","smiler_id","culture","smile_type","stimulus","frame","time_s","Neutral","Happy","Sad","Angry","Surprised","Scared","Disgusted","Contempt","AU01","AU02","AU04","AU05","AU06","AU07","AU09","AU10","AU12","AU14","AU15","AU17","AU18","AU20","AU23","AU24","AU25","AU26","AU27","AU43"
"E11HA01-01","C11","Chinese","Genuine","Happy 1 CN",22,2.625,0.4015742,0.183554,0.02189548,0.1660041,0.006376503,0.073458,0.0287499,0.04639304,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2
"E11HA01-01","C11","Chinese","Genuine","Happy 1 CN",23,2.75,0.4748861,0.1266682,0.02909673,0.165022,0.005650535,0.0842142,0.04307053,0.03974522,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2
"E11HA02-04","C11","Chinese","Genuine","Happy 2 CN",1,0,0.439324,0.2124559,0.007042069,0.04689374,0.01673597,0.06292661,0.01085154,0.001268779,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,1
"E11HA02-04","C11","Chinese","Genuine","Happy 2 CN",2,0.125,0.4381744,0.2237287,0.008120016,0.050715,0.01727662,0.06410331,0.01719338,0.001520623,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,1
"E11HA02-04","C11","Chinese","Genuine","Happy 2 CN",3,0.25,0.4030312,0.2930871,0.007375599,0.05130462,0.01600147,0.05351548,0.01774466,0.001914102,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,1
"E11HA02-04","C11","Chinese","Genuine","Happy 2 CN",4,0.375,0.331874,0.4112586,0.006048512,0.04591557,0.0136544,0.04001271,0.01277337,0.002352666,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,3,0,0,1
"E11HA02-04","C11","Chinese","Genuine","Happy 2 CN",5,0.5,0.2500327,0.5515915,0.004268296,0.03637651,0.01098748,0.0276607,0.0088217,0.002481294,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,3,0,0,1
"E11HA02-04","C11","Chinese","Genuine","Happy 2 CN",6,0.625,0.1890064,0.6575139,0.003022579,0.03042452,0.008279718,0.01907526,0.006078395,0.002610297,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,3,0,0,1
"E11HA02-04","C11","Chinese","Genuine","Happy 2 CN",7,0.75,0.15255,0.7193344,0.002160501,0.02892563,0.006624202,0.01322265,0.004187576,0.00363431,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,3,0,0,1
"E11HA02-04","C11","Chinese","Genuine","Happy 2 CN",8,0.875,0.1285801,0.7596455,0.001538599,0.02564869,0.005352151,0.009162993,0.002889756,0.004080898,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,3,0,0,1
"E11HA02-04","C11","Chinese","Genuine","Happy 2 CN",9,1,0.1131675,0.7852271,0.001120153,0.02403531,0.004267786,0.006493289,0.002019393,0.003541822,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,3,0,0,1
